DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK,K,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0,0,0,0,0,0,0,0,97,107,108,99,76,34,521
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,53,40,35,20,148
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,62,66,36,50,214
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,0,28,29,28,29,29,31,28,47,44,45,31,27,19,415
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,78,64,70,51,263
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,0,48,42,43,43,46,52,42,38,28,0,0,0,0,382
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,0,59,49,52,50,43,33,48,44,37,0,0,0,0,415
0010,MAPLETON 1,0503,YORK INTERNATIONAL,0,54,56,52,56,54,60,62,52,56,51,43,53,9,658
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,45,49,40,37,23,23,22,0,0,0,0,0,0,0,239
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,0,46,51,45,53,41,58,46,46,56,0,0,0,0,442
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,0,52,48,49,51,41,52,46,0,0,0,0,0,0,339
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,0,45,45,42,43,25,38,41,0,0,0,0,0,0,279
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,0,38,35,31,28,22,23,26,0,0,0,0,0,0,203
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,0,45,55,52,53,34,43,52,44,39,0,0,0,0,417
0010,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,329,0,0,0,0,0,0,0,0,0,0,0,0,0,329
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57
0010,MAPLETON 1,9036,VALLEY VIEW K-8,0,42,49,55,43,55,54,54,54,48,0,0,0,0,454
0010,MAPLETON 1,,DISTRICT TOTAL,374,506,499,486,472,413,466,445,422,415,397,343,297,240,5775
