DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK-12,FREE,REDUCED,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,521,246,67,208,313,47.22%,12.86%,60.08%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,148,74,20,54,94,50%,13.51%,63.51%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,214,110,16,88,126,51.40%,7.48%,58.88%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,415,302,45,68,347,72.77%,10.84%,83.61%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,263,139,26,98,165,52.85%,9.89%,62.74%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,382,246,54,82,300,64.40%,14.14%,78.53%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,415,227,67,121,294,54.70%,16.14%,70.84%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,658,336,95,225,431,51.06%,14.44%,65.50%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,239,110,24,105,134,46.03%,10.04%,56.07%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,442,291,56,95,347,65.84%,12.67%,78.51%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,339,180,38,121,218,53.10%,11.21%,64.31%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,279,192,33,54,225,68.82%,11.83%,80.65%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,203,151,28,24,179,74.38%,13.79%,88.18%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,417,247,41,129,288,59.23%,9.83%,69.06%
0010,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,329,138,32,143,170,41.95%,9.73%,51.67%
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,57,31,4,21,35,54.39%,7.02%,61.40%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,454,219,65,170,284,48.24%,14.32%,62.56%
0010,MAPLETON 1,,DISTRICT TOTAL,5775,3239,711,1806,3950,56.09%,12.31%,68.40%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,564,133,46,385,179,23.58%,8.16%,31.74%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,1221,175,74,972,249,14.33%,6.06%,20.39%
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,1097,104,34,959,138,9.48%,3.10%,12.58%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,640,16,8,616,24,2.50%,1.25%,3.75%
0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,758,96,25,624,121,12.66%,3.30%,15.96%
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,325,72,15,227,87,22.15%,4.62%,26.77%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,644,129,35,480,164,20.03%,5.43%,25.47%
0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,21,0,0,0,0,0%,0%,0%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,497,193,57,247,250,38.83%,11.47%,50.30%
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,1053,162,60,831,222,15.38%,5.70%,21.08%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,630,8,4,616,12,1.27%,0.63%,1.90%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),5006,787,269,3950,1056,15.72%,5.37%,21.09%
0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,469,368,47,54,415,78.46%,10.02%,88.49%
0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,620,111,25,484,136,17.90%,4.03%,21.94%
