School Name,District Number,District Name,EMH,EMH_combined,School Number,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chnge_.5
ABRAHAM LINCOLN HIGH SCHOOL,0880,DENVER COUNTY 1,H,,0010,3,2,1
ACADEMY CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,0011,3,2,2
ACADEMY CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,0011,3,3,3
ACRES GREEN ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,0012,2,2,2
GLACIER PEAK ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,0014,2,3,2
ACADEMY OF CHARTER SCHOOLS,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,0015,2,2,2
ACADEMY OF CHARTER SCHOOLS,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,0015,3,3,2
ACADEMY OF CHARTER SCHOOLS,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,0015,2,2,1
FOX HOLLOW ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0016,2,2,1
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,0017,2,2,2
LIBERTY MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,0018,2,2,2
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,0019,2,2,2
ADAMS CITY MIDDLE SCHOOL,0030,ADAMS COUNTY 14,M,,0020,3,2,3
LESTER R ARNOLD HIGH SCHOOL,0030,ADAMS COUNTY 14,H,,0022,,,1
ADAMS CITY HIGH SCHOOL,0030,ADAMS COUNTY 14,H,,0024,1,2,3
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,0025,2,3,2
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,0026,2,1,1
ADULT & FAMILY LITERACY,0980,HARRISON 2,H,,0029,,,
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0030,2,2,3
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0033,3,1,1
MC LAIN COMMUNITY HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0034,,,2
FRONTIER CHARTER ACADEMY,0970,CALHAN RJ-1,E,,0035,2,1,3
FRONTIER CHARTER ACADEMY,0970,CALHAN RJ-1,M,,0035,,,
RED HILL ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,0037,2,2,2
BRUSH CREEK ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,0038,2,3,2
GYPSUM CREEK MIDDLE SCHOOL,0910,EAGLE COUNTY RE 50,M,,0039,3,2,2
RIDGE VIEW ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,H,,0040,2,1,1
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,E,,0042,2,1,1
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,,0042,1,3,2
AGATE ELEMENTARY SCHOOL,0960,AGATE 300,E,,0044,,,
AGATE JUNIOR-SENIOR HIGH SCHOOL,0960,AGATE 300,H,MH,0048,,,3
AGATE JUNIOR-SENIOR HIGH SCHOOL,0960,AGATE 300,M,MH,0048,,,3
RICO ELEMENTARY SCHOOL,0890,DOLORES COUNTY RE NO.2,E,,0050,,,
RICO ELEMENTARY SCHOOL,0890,DOLORES COUNTY RE NO.2,M,,0050,,,
THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,2810,CENTER 26 JT,H,,0051,,,2
HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,,0052,3,3,3
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,E,,0053,2,1,1
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,M,,0053,2,2,2
ROMERO ELEMENTARY SCHOOL,3120,GREELEY 6,E,,0054,3,2,3
GRANDVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,,0055,2,2,2
FOWLER ELEMENTARY SCHOOL,2540,FOWLER R-4J,E,,0056,2,2,2
