Organization Code,School Code,Phone,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,,Developed: 11-5-12
0010,0187,3038531270,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,8990 YORK STREET,THORNTON,CO,80299,,
0010,0212,3038531980,MAPLETON EARLY COLLEGE HIGH SCHOOL,7480 CONIFER RD,DENVER,CO,80229,,
0010,0263,3038531930,GLOBAL LEADERSHIP ACADEMY,7480 CONIFER ROAD,DENVER,CO,80221,,
0010,0309,3038531900,ACADEMY HIGH SCHOOL,8990 YORK STREET,THORNTON,CO,80229,,
0010,0501,3038531360,MONTEREY COMMUNITY SCHOOL,2210 MCELWAIN BLVD,DENVER,CO,80229,,
0010,0502,3038531500,MEADOW COMMUNITY SCHOOL,9150 MONROE ST,THORNTON,CO,80229,,
0010,0503,3038531600,YORK INTERNATIONAL,9200 YORK ST,THORNTON,CO,80229,,
0010,0504,3038531700, WELBY MONTESSORI SCHOOL,1200 E 78TH AVE,DENVER,CO,80229,,
0010,0505,3038531300,ACHIEVE ACADEMY,9100 POZE BLVD,THORNTON,CO,80229,,
0010,0506,3038531300,EXPLORE ELEMENTARY,9150 POZE BLVD,THORNTON,CO,80229,,
0010,0507,3038531410,ADVENTURE ELEMENTARY,7700 DELTA ST.,DENVER,CO,80221,,
0010,0509,3038531460,CLAYTON PARTNERSHIP SCHOOL,2410 POZE BLVD,THORNTON,CO,80229,,
0010,1796,3037942302,COLORADO CONNECTIONS ACADEMY,8 INVERNESS DRIVE E SUITE 240,ENGLEWOOD,CO,80112,,
0010,4699,3039910130,THE NEW AMERICA SCHOOL,601 EAST 64TH AVENUE,DENVER,CO,80229,,
0010,5539,3038531100,MAPLETON EARLY LEARNING CENTER,602 EAST 64TH AVENUE,DENVER,CO,80229,,
0010,6315,3038531760,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,8990 YORK STREET,THORNTON,CO,80229,,
0010,9036,3038531560,VALLEY VIEW K-8,660 WEST 70TH AVENUE,DENVER,CO,80221,,
0020,0014,7209725940,GLACIER PEAK ELEMENTARY SCHOOL,12060 JASMINE STREET,BRIGHTON,CO,80605,,
0020,0015,3032898088,ACADEMY OF CHARTER SCHOOLS,11800 LOWELL BLVD,WESTMINSTER,CO,80031,,
0020,0057,7209722200,ROCKY TOP MIDDLE SCHOOL,14150 YORK STREET,THORNTON,CO,80602,,
0020,0059,7209727880,MERIDIAN ELEMENTARY SCHOOL,14256 MCKAY PARK CIRCLE,BROOMFIELD,CO,80020,,
0020,0070,7209726001,ADAMS12 FIVE STAR PRESCHOOL,1500 EAST 128TH AVENUE,THORNTON,CO,80241,,
0020,0210,7209725800,VANTAGE POINT,10900 HURON STREET,NORTHGLENN,CO,80234,,
0020,0301,7209725740,ARAPAHOE RIDGE ELEMENTARY SCHOOL,13095 PECOS STREET,WESTMINSTER,CO,80030,,
0020,1020,7209724574,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,5321 EAST 136TH AVENUE,BRIGHTON,CO,80601,,
0020,1388,7209725280,CENTENNIAL ELEMENTARY SCHOOL,13200 WESTLAKE DRIVE,BROOMFIELD,CO,80020,,
0020,1480,7209725240,CENTURY MIDDLE SCHOOL,13000 LAFAYETTE STREET,THORNTON,CO,80241,,
0020,1519,3034503936,STARGATE CHARTER SCHOOL,3951 COTTONWOODLAKES BOULEVARD,THORNTON,CO,80241,,
0020,1752,3032554650,COLORADO VIRTUAL ACADEMY (COVA),"11990 GRANT STREET, #402",NORTHGLENN,CO,80233,,
0020,1878,7209725320,CORONADO HILLS ELEMENTARY SCHOOL,8300 DOWNING DRIVE,THORNTON,CO,80229,,
0020,1914,7209725340,COTTON CREEK ELEMENTARY SCHOOL,11100 VRAIN STREET,WESTMINSTER,CO,80030,,
0020,1937,7209725780,COYOTE RIDGE ELEMENTARY SCHOOL,13770 BROADLANDS DRIVE,BROOMFIELD,CO,80020,,
0020,2361,7209725760,EAGLEVIEW ELEMENTARY SCHOOL,4601 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,,
0020,2410,7209725640,TARVER ELEMENTARY SCHOOL,3500 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,,
